1,Salmonella infections (A01-A02)
2,"Shigellosis and amebiasis (A03,A06)"
3,"Certain other intestinal infections (A04,A07-A09)"
4,1 Tuberculosis (A16-A19)
5,Respiratory tuberculosis (A16)
6,Other tuberculosis (A17-A19)
7,Whooping cough (A37)
8,"Scarlet fever and erysipelas (A38,A46)"
9,Meningococcal infection (A39)
10,3 Septicemia (A40-A41)
11,Syphilis (A50-A53)
12,Acute poliomyelitis (A80)
13,"Arthropod-borne viral encephalitis (A83-A84,A85.2)"
14,Measles (B05)
15,Viral hepatitis (B15-B19)
16,Human immunodeficiency virus (HIV) disease (B20-B24)
17,Malaria (B50-B54)
18,"Other and unspecified infectious and parasitic diseases and their sequelae(A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"
19,1 Malignant neoplasms (C00-C97)
20,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"
21,Malignant neoplasm of esophagus (C15)
22,Malignant neoplasm of stomach (C16)
23,"Malignant neoplasms of colon, rectum and anus (C18-C21)"
24,Malignant neoplasms of liver and intrahepatic bile ducts (C22)
25,Malignant neoplasm of pancreas (C25)
26,Malignant neoplasm of larynx (C32)
27,"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"
28,Malignant melanoma of skin (C43)
29,Malignant neoplasm of breast (C50)
30,2 Malignant neoplasm of cervix uteri (C53)
31,"2 Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"
32,2 Malignant neoplasm of ovary (C56)
33,1 Malignant neoplasm of prostate (C61)
34,Malignant neoplasms of kidney and renal pelvis (C64-C65)
35,Malignant neoplasm of bladder (C67)
36,"Malignant neoplasms of meninges, brain and other parts of central nervous system(C70-C72)"
37,"1 Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"
38,Hodgkin's disease (C81)
39,Non-Hodgkin's lymphoma (C82-C85)
40,Leukemia (C91-C95)
41,"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"
42,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"
43,"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)43"
44,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"
45,Anemias (D50-D64)
46,3 Diabetes mellitus (E10-E14)
47,Nutritional deficiencies (E40-E64)
48,Malnutrition (E40-E46)
49,Other nutritional deficiencies (E50-E64)
50,"Meningitis (G00,G03)"
51,Parkinson's disease (G20-G21)
52,Alzheimer's disease (G30)
53,1 Major cardiovascular diseases (I00-I78)
54,"1 Diseases of heart (I00-I09,I11,I13,I20-I51)"
55,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)
56,Hypertensive heart disease (I11)
57,Hypertensive heart and renal disease (I13)
58,1 Ischemic heart diseases (I20-I25)
59,Acute myocardial infarction (I21-I22)
60,Other acute ischemic heart diseases (I24)
61,"1 Other forms of chronic ischemic heart disease (I20,I25)"
62,"Atherosclerotic cardiovascular disease, so described (I25.0)"
63,"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"
64,1 Other heart diseases (I26-I51)
65,Acute and subacute endocarditis (I33)
66,"Diseases of pericardium and acute myocarditis (I30-I31,I40)"
67,Heart failure (I50)
68,"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"
69,"Essential (primary) hypertension and hypertensive renal disease (I10,I12)"
70,Cerebrovascular diseases (I60-I69)
71,Atherosclerosis (I70)
72,1 Other diseases of circulatory system (I71-I78)
73,Aortic aneurysm and dissection (I71)
74,"Other diseases of arteries, arterioles and capillaries (I72-I78)"
75,Other disorders of circulatory system (I80-I99)
76,1 Influenza and pneumonia (J10-J18)
77,Influenza (J10-J11)
78,Pneumonia (J12-J18)
79,1 Other acute lower respiratory infections (J20-J22)
80,Acute bronchitis and bronchiolitis (J20-J21)
81,Unspecified acute lower respiratory infection (J22)
82,1 Chronic lower respiratory diseases (J40-J47)
83,"Bronchitis, chronic and unspecified (J40-J42)"
84,3 Emphysema (J43)
85,Asthma (J45-J46)
86,"Other chronic lower respiratory diseases (J44,J47)"
87,"Pneumoconioses and chemical effects (J60-J66,J68)"
88,Pneumonitis due to solids and liquids (J69)
89,"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)"
90,Peptic ulcer (K25-K28)
91,Diseases of appendix (K35-K38)
92,Hernia (K40-K46)
93,"1 Chronic liver disease and cirrhosis (K70,K73-K74)"
94,Alcoholic liver disease (K70)
95,Other chronic liver disease and cirrhosis (K73-K74)
96,Cholelithiasis and other disorders of gallbladder (K80-K82)
97,"1 Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"
98,"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"
99,"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute orchronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"
100,Renal failure (N17-N19)
101,"Other disorders of kidney (N25,N27)"
102,"Infections of kidney (N10-N12,N13.6,N15.1)"
103,1 Hyperplasia of prostate (N40)
104,2 Inflammatory diseases of female pelvic organs (N70-N76)
105,"1 2 7 Pregnancy, childbirth and the puerperium (O00-O99)"
106,2 7 Pregnancy with abortive outcome (O00-O07)
107,"2 7 Other complications of pregnancy, childbirth and the puerperium (O10-O99)"
108,Certain conditions originating in the perinatal period (P00-P96)
109,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"
110,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhereclassified (R00-R99)"
111,"All other diseases (Residual) (D65-E07,E15-E34,E65-F99,G04-G12,G23-G25,G31-H93,K00-K22,K29-K31,K50-K66,K71-K72,K75-K76,K83-M99, N13.0-N13.5,N13.7-N13.9,N14,N15.0,N15.8-N15.9,N20-N23,N28-N39,N41-N64,N80-N98)"
112,"1 Accidents (unintentional injuries) (V01-X59,Y85-Y86)"
113,"1 Transport accidents (V01-V99,Y85)"
114,"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"
